"Group.1","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"20260",NA,NA,NA,NA,NA,NA,NA,NA,2325,NA
"80100",2924.24760537732,2892.62804162177,2849.91244007597,3048.97689214539,3065.79119811719,3176.73845979634,3247.38231164456,3149.43456242477,3105.23454490397,2984.56023446465
"80110",2739.80327623825,2318.95689125526,2261.66859773241,2636.30607340262,2658.58397019218,3134.04957036273,2467.31328999225,2329.22273657572,2339.23607328489,2214.37356008158
"80130",1704.52930660376,1619.60818256753,1663.71117367067,2274.99366191115,1601.21550587684,2185.27438849494,2717.11484165662,3709.46437647554,4061.87593996255,3949.12776412776
"80140",2394.51263553586,2552.79936216131,2236.12024525293,2238.26729312032,2406.87298974423,2350.32849369592,2312.18174795067,2714.75979572529,1935.02838376663,2043.07039634268
"80160",1673.43100453474,1638.45312436441,1841.27197987187,1993.95491652124,1840.08846710784,1496.13987332026,1491.03825660098,1516.2146343766,1505.10062300517,1353.35473018021
"80170",1808.62846809565,2120.07538970869,1864.16092711406,2022.33609322599,1920.05873860964,1664.43158119197,1657.59921666789,1620.02805801674,1733.74180282038,1848.5370778148
"80200",2234.70351505393,2097.90818375792,2471.19263262169,2614.77944859893,2723.1060384991,2936.58621392172,2368.39177872885,2354.74448863387,2679.45092931893,2238.31972891971
"80220",3559.66482695711,3595.26995156743,3555.62894691109,3423.1941272943,3454.36560900164,3525.66132444174,3555.70262458332,3293.06210569311,3898.99273395922,3546.57199192932
"802220",NA,NA,NA,NA,NA,1192,1112,NA,NA,NA
"80230",2194.54275760248,1933.20480227683,2303.20732209606,2038.0275683455,2046.57000452918,1959.37461967657,2003.92701318896,2055.78379202276,2161.93792010667,2083.21227719753
"80240",NA,NA,NA,889.952153110048,NA,NA,NA,NA,NA,NA
"80260",1688.01074825201,2104.47271023209,1867.02490491987,1821.95916089795,1834.04661336177,2014.93999107812,2179.57764085547,1867.80377603837,1744.59677243897,1930.43561169428
"80330",2242.50005449981,1832.45859379074,1743.91718316457,1740.87725795364,1767.75876728351,1859.92156060168,1726.23243387862,1767.76090283488,1801.93496275769,1446.65345656437
"80400",NA,NA,NA,1677.85234899329,NA,NA,574.324324324324,NA,NA,NA
"80510",NA,1317.06372904849,1324.04292858804,1065.58770520914,1342.30769230769,14.6930693069307,1872.95867591444,NA,NA,NA
"80710",NA,NA,1936.17021276596,2069.44444444444,3109.15737428992,NA,NA,1628.78787878788,1839.92169739833,NA
"80910",1355.55555555556,1527.86596119929,1817.66101076446,1328.59882509342,1530.35783855384,1477.97957962857,1444.16920632181,1059.375,1400,1245.03311258278
"8110",NA,1773.04964539007,NA,NA,NA,NA,NA,NA,NA,NA
"81200",906.748665297952,950.134267257024,841.15588542837,793.255220923218,707.041109825301,741.423523203002,748.12934791901,618.458411711993,511.895357598777,812.5
"81210",NA,1197.91666666667,1241.66666666667,513.793103448276,870.009689922481,501.808785529716,640.78304676779,332.687338501292,NA,NA
"81260",NA,1453.7037037037,1431.89244211778,1860.85150571132,1728.81179891982,1488.35499478228,1829.82194793218,2420.56074766355,584.188669450933,NA
"81270",NA,NA,NA,NA,1249.03728436283,NA,NA,812.222222222222,888.888888888889,NA
"81280",747.971950424005,711.808397971851,446.02219589148,576.446634357203,438.269666176354,406.372721502751,415.254112696259,343.606829575681,466.00951226719,148.148148148148
"81290",472.727272727273,501.346801346801,574.074074074074,339.375392341494,NA,NA,271.739130434783,NA,1447.36842105263,NA
"81295",NA,2846.15384615385,2584.61538461538,2338.46153846154,575.757575757576,2138.46153846154,NA,235.294117647059,NA,NA
"81320",1317.64705882353,1342.30769230769,772.435897435897,NA,1376.92307692308,1102.10622710623,898.876404494382,NA,NA,NA
"81330",518.181818181818,NA,862.31884057971,782.608695652174,616.26213592233,616.666666666667,0,NA,NA,NA
"81360",NA,NA,NA,NA,427.272727272727,390.946502057613,NA,NA,310.518397864423,NA
"81390",1339.76032931744,981.709244678833,1087.10073710074,1704.54545454545,1454.54545454545,778.378378378378,691.891891891892,488.338076157419,675.675675675676,NA
"82110",1275.69440307869,1324.42042042042,1231.78335555709,1317.87675153124,1244.20464804134,1197.07998464743,1174.80697999615,1182.31490704635,1072.78748526874,1173.91304347826
"82120",1803.27868852459,866.666666666667,NA,826.797385620915,1098.48484848485,NA,986.137619286791,991.305774278215,2047.73550724638,NA
"82140",990.781156142087,1037.12240187868,912.228931014649,670.580017479359,862.864546173307,626.326755081752,538.873805209188,493.120136836626,537.885101709013,661.111111111111
"82160",NA,981.818181818182,981.818181818182,NA,NA,1375,NA,NA,NA,NA
"82170",598.290598290598,NA,1233.33333333333,NA,NA,NA,NA,NA,NA,NA
"82180",527.272727272727,497.5,NA,NA,NA,828.43137254902,NA,0,NA,NA
"8220",NA,NA,NA,NA,2000,NA,NA,NA,NA,NA
"82200",1158.87405759369,1259.82634869118,1267.54103725183,1192.17936937194,983.41212824866,1069.64047925836,1029.29698451895,1033.77156082126,1010.0356521143,824.719018041999
"82210",1123.8344988345,1644.44444444444,1608.33333333333,1192.968097521,1198.13846209727,1035.02214839424,1248.3536194747,1032.41901993355,NA,NA
"82220",1718.03721267616,1892.05988372456,1720.82931109278,1850.74360967455,1681.3214937289,1600.16175806383,1641.00578143338,1584.18595860095,1538.54341624915,1554.56933698183
"82290",NA,NA,NA,NA,NA,510.63829787234,NA,NA,NA,NA
"82350",NA,NA,1447.36842105263,NA,NA,NA,NA,NA,NA,NA
"82710",2025.34366074318,1584.76368159204,604.938271604938,546.296296296296,553.11216829074,932.51795059024,NA,643.202554744526,590.361445783132,491.803278688525
"82730",600.211167838336,1297.33384659855,1063.91433997154,553.109391124871,1329.78723404255,346.702740568329,369.783899475283,612.129525942516,263.333333333333,373.333333333333
"82750",NA,NA,874.726501734861,892.857142857143,326.530612244898,529.761904761905,180.163043478261,286.764705882353,250,NA
"82760",NA,NA,433.373987916561,303.296703296703,432.243371352392,NA,NA,0.00595238095238095,230.46875,NA
"82815",NA,NA,NA,NA,314.009661835749,NA,NA,NA,79.4871794871795,NA
"82850",NA,NA,NA,NA,NA,NA,NA,237.5,NA,NA
"82865",NA,NA,1400,1029.62962962963,NA,NA,NA,NA,NA,NA
"82880",NA,NA,NA,NA,314.285714285714,131.578947368421,NA,NA,NA,NA
"83100",1898.87640449438,NA,NA,NA,NA,NA,NA,1333.33333333333,NA,NA
"83200",NA,NA,NA,NA,NA,NA,NA,619.047619047619,NA,NA
"83320",NA,NA,NA,NA,NA,NA,NA,1323.80952380952,NA,NA
"83500",NA,1142.85714285714,NA,NA,NA,NA,NA,NA,NA,NA
"85900 Juuka",NA,NA,NA,NA,NA,NA,NA,1550,NA,NA
